id,login_id,email,pwd,role,profile_img_url,first_name,last_name,nickname,age,birthdate,gender,reg_date,height,weight,goal_type,streak_days,max_streak_days,total_workout_days,total_workout_minutes,total_calories,level,exp,coin,group_id,marketing_agree,active,update_date
13,hojun.han13,hojun.han13@example.com,$2a$10$mockhashedpasswordvalue13,USER,https://cdn.example.com/profiles/U0013.png,Hojun,Han,cardioking13,34,1991-04-26,F,2025-07-14 10:00:00,184.5,56.9,4,27,89,146,2920,36062,10,18910,3832,,1,1,2025-08-30 10:00:00
14,jisoo.kang14,jisoo.kang14@example.com,$2a$10$mockhashedpasswordvalue14,USER,https://cdn.example.com/profiles/U0014.png,Jisoo,Kang,gainseeker14,25,2000-09-10,F,2025-09-29 15:00:00,152.0,67.9,2,4,90,35,700,12460,4,19424,37334,,1,1,2025-11-07 15:00:00
15,dongho.lee15,dongho.lee15@example.com,$2a$10$mockhashedpasswordvalue15,USER,https://cdn.example.com/profiles/U0015.png,Dongho,Lee,gainseeker15,24,2001-09-22,U,2025-05-14 16:00:00,173.4,59.1,3,8,90,202,6060,77568,11,52855,49274,,1,1,2025-06-22 16:00:00
16,jiwon.hwang16,jiwon.hwang16@example.com,$2a$10$mockhashedpasswordvalue16,USER,https://cdn.example.com/profiles/U0016.png,Jiwon,Hwang,ironheart16,31,1994-10-13,F,2025-05-16 14:00:00,182.7,84.6,2,18,38,189,5670,80892,10,35050,42858,,1,1,2025-07-14 14:00:00
17,seojin.lee17,seojin.lee17@example.com,$2a$10$mockhashedpasswordvalue17,USER,https://cdn.example.com/profiles/U0017.png,Seojin,Lee,runbunny17,33,1992-05-26,F,2025-03-21 18:00:00,159.9,54.5,3,43,83,104,3120,42432,16,32448,3329,,1,1,2025-05-13 18:00:00
18,jisoo.jung18,jisoo.jung18@example.com,$2a$10$mockhashedpasswordvalue18,USER,https://cdn.example.com/profiles/U0018.png,Jisoo,Jung,legday18,33,1992-12-07,U,2025-03-25 09:00:00,165.5,76.8,1,4,23,57,2280,9576,12,40620,36210,,0,1,2025-03-27 09:00:00
19,jungkook.jung19,jungkook.jung19@example.com,$2a$10$mockhashedpasswordvalue19,USER,https://cdn.example.com/profiles/U0019.png,Jungkook,Jung,legday19,31,1994-09-17,F,2025-02-22 21:00:00,177.3,84.8,5,47,56,317,6340,73861,6,27660,27020,,1,1,2025-04-13 21:00:00
20,eunseo.yoon20,eunseo.yoon20@example.com,$2a$10$mockhashedpasswordvalue20,USER,https://cdn.example.com/profiles/U0020.png,Eunseo,Yoon,homebeast20,20,2005-09-23,M,2025-07-15 11:00:00,180.1,55.0,4,19,48,179,3580,28998,7,18424,21512,,1,1,2025-08-06 11:00:00
21,seungmin.shin21,seungmin.shin21@example.com,$2a$10$mockhashedpasswordvalue21,USER,https://cdn.example.com/profiles/U0021.png,Seungmin,Shin,legday21,35,1990-08-15,M,2025-05-14 15:00:00,170.3,89.3,1,38,65,55,1650,17050,14,48762,33516,,0,1,2025-05-30 15:00:00
22,dongho.kim22,dongho.kim22@example.com,$2a$10$mockhashedpasswordvalue22,USER,https://cdn.example.com/profiles/U0022.png,Dongho,Kim,ironheart22,23,2002-01-28,F,2025-07-06 23:00:00,152.4,74.9,3,20,35,319,12760,96657,17,38522,43705,,0,1,2025-08-19 23:00:00
23,jaehee.jung23,jaehee.jung23@example.com,$2a$10$mockhashedpasswordvalue23,USER,https://cdn.example.com/profiles/U0023.png,Jaehee,Jung,yogacat23,26,1999-06-07,M,2025-04-01 05:00:00,169.9,63.3,1,18,44,155,4650,69130,20,73620,21118,,0,1,2025-05-14 05:00:00
24,gyuri.choi24,gyuri.choi24@example.com,$2a$10$mockhashedpasswordvalue24,USER,https://cdn.example.com/profiles/U0024.png,Gyuri,Choi,homebeast24,21,2004-10-11,M,2025-05-27 02:00:00,173.2,72.9,1,43,62,120,2400,30120,5,5500,3028,,0,1,2025-06-25 02:00:00
25,youngho.yoon25,youngho.yoon25@example.com,$2a$10$mockhashedpasswordvalue25,USER,https://cdn.example.com/profiles/U0025.png,Youngho,Yoon,cardioking25,24,2001-02-01,M,2025-05-05 14:00:00,173.0,45.2,1,14,36,217,8680,90055,15,18075,36530,,1,1,2025-05-13 14:00:00
26,gyuri.han26,gyuri.han26@example.com,$2a$10$mockhashedpasswordvalue26,USER,https://cdn.example.com/profiles/U0026.png,Gyuri,Han,gainseeker26,28,1997-02-12,M,2025-11-11 09:00:00,181.2,64.2,4,47,77,81,2430,22842,8,35520,41789,,1,1,2025-12-21 09:00:00
27,jimin.choi27,jimin.choi27@example.com,$2a$10$mockhashedpasswordvalue27,USER,https://cdn.example.com/profiles/U0027.png,Jimin,Choi,runbunny27,29,1996-05-29,F,2025-05-20 20:00:00,161.2,69.3,2,14,63,77,3080,17556,7,8841,27188,,0,1,2025-06-15 20:00:00
28,hana.kim28,hana.kim28@example.com,$2a$10$mockhashedpasswordvalue28,USER,https://cdn.example.com/profiles/U0028.png,Hana,Kim,cardioking28,22,2003-02-06,M,2025-10-22 22:00:00,166.7,87.4,3,54,80,199,7960,85371,20,93540,14453,,1,1,2025-11-18 22:00:00
29,minseo.han29,minseo.han29@example.com,$2a$10$mockhashedpasswordvalue29,USER,https://cdn.example.com/profiles/U0029.png,Minseo,Han,legday29,20,2005-01-01,M,2025-03-27 00:00:00,182.2,89.1,5,37,73,201,8040,32763,3,10896,28089,,0,1,2025-03-30 00:00:00
30,seungmin.jung30,seungmin.jung30@example.com,$2a$10$mockhashedpasswordvalue30,USER,https://cdn.example.com/profiles/U0030.png,Seungmin,Jung,yogacat30,25,2000-03-13,U,2025-06-22 22:00:00,159.7,87.8,4,53,58,129,3870,20511,18,21834,22935,1,1,1,2025-08-10 22:00:00
